elapsed_seconds,dominant_freq_hz,flow_intensity,total_magnitude,flow_running,vibration_rpm,x_axis_reading,y_axis_reading,z_axis_reading,vibration_intensity,has_real_signal
0.0,0.0,2016.0,533.165,True,0.0,-156,180,477,2.72944452251778,False
0.102,0.0,2011.0,534.398,True,0.0,-156,181,478,2.69564455545289,False
0.209,0.0,2011.7,531.716,True,0.0,-156,181,475,2.67399400373134,False
0.307,0.0,2012.0,534.137,True,0.0,-157,182,477,2.66403971326391,False
0.406,0.0,2012.8,526.876,True,0.0,-154,179,471,2.6617035972353,False
0.505,0.0,2009.0,529.688,True,0.0,-154,182,473,2.63703381558533,False
0.606,0.0,2007.2,531.185,True,0.0,-153,182,475,2.63658650199842,False
0.707,0.0,2005.9,532.027,True,0.0,-154,181,476,2.62344737129297,False
0.807,0.0,2005.9,532.368,True,0.0,-154,182,476,2.5570156806689,False
0.908,0.0,2006.9,530.19,True,0.0,-155,180,474,2.48820154159465,False
1.007,0.0,2007.4,530.291,True,0.0,-153,182,474,2.4015273143505,False
1.108,0.0,2006.2,531.084,True,0.0,-155,180,475,2.38110771490434,False
1.209,0.0,2001.7,533.143,True,0.0,-154,179,478,2.3712337827408,False
1.308,0.0,1994.8,534.088,True,0.0,-153,180,479,2.34798169894424,False
1.408,0.0,1988.3,530.925,True,0.0,-154,183,474,2.3431049249719,False
1.505,0.0,1988.7,529.345,True,0.0,-154,181,473,2.30518359424414,False
1.608,0.0,1983.1,530.793,True,0.0,-154,180,475,2.27967226319893,False
1.706,0.0,1979.6,532.61,True,0.0,-156,181,476,2.25683912855428,False
1.803,0.0,1979.3,532.658,True,0.0,-155,182,476,2.23385252193302,False
1.9,0.659190674011234,1979.4,532.01,True,39.551440440674,-157,181,475,2.2199738316241,False
2.002,0.0,1977.2,534.737,True,0.0,-156,182,478,2.2146887663496,False
2.112,0.0,1975.1,531.424,True,0.0,-155,181,475,2.19019181951258,False
2.211,0.0,1973.4,532.61,True,0.0,-156,181,476,2.16760323110635,False
2.305,0.0,1974.0,528.315,True,0.0,-157,178,472,2.17130447465421,False
2.404,0.0,1975.9,525.263,True,0.0,-155,176,470,2.19172787990508,False
2.503,0.0,1977.2,524.722,True,0.0,-152,177,470,2.22078085117145,False
2.603,0.0,1978.1,522.68,True,0.0,-148,177,469,2.27125879806467,False
2.703,0.0,1976.0,524.394,True,0.0,-148,182,469,2.33627361858859,False
2.803,0.0,1971.6,526.226,True,0.0,-147,188,469,2.42905980015949,False
2.903,0.0,1966.1,526.019,True,0.0,-148,194,466,2.62855238588656,False
3.004,0.0,1960.2,528.298,True,0.0,-149,197,467,2.85178848444105,False
3.105,0.0,1954.4,537.479,True,0.0,-152,198,476,2.99160547537396,False
3.204,0.0,1951.2,537.373,True,0.0,-156,197,475,3.10560568690063,False
3.304,0.0,1950.8,534.134,True,0.0,-157,197,471,3.20672841807882,False
3.404,0.0,1951.4,531.96,True,0.0,-160,191,470,3.23345724857363,False
3.504,0.0,1950.9,527.459,True,0.0,-158,185,468,3.26801975886383,False
3.612,0.0,1946.8,525.43,True,0.0,-154,180,469,3.27620462167848,False
3.704,0.0,1949.6,519.485,True,0.0,-145,178,466,3.36333850691274,False
3.803,0.0,1952.7,519.426,True,0.0,-135,183,467,3.55524543540702,False
3.901,0.0,1957.5,529.84,True,0.0,-127,195,476,3.9392671898884,False
4.008,0.0,1963.8,533.638,True,0.0,-125,204,477,4.39136885706816,False
4.107,0.0,1967.4,547.717,True,0.0,-125,215,488,5.03244599241158,True
4.206,0.0,1974.1,553.31,True,0.0,-126,224,490,5.76048988077609,True
4.304,0.0,1968.5,559.801,True,0.0,-130,229,494,6.47286412728851,True
4.411,0.0,1967.4,566.318,True,0.0,-134,234,498,7.20884644061137,True
4.509,0.0,1973.0,573.471,True,0.0,-142,236,503,7.89703165390362,True
4.608,0.0,1971.8,575.861,True,0.0,-148,236,504,8.46745077653705,True
4.709,0.0,1972.6,579.714,True,0.0,-156,236,506,9.01803386536074,True
4.809,0.0,1976.5,581.017,True,0.0,-160,230,509,9.53516348803046,True
4.909,0.0,1979.2,583.572,True,0.0,-166,230,510,10.0124555547932,True
5.0,0.0,1981.6,584.252,True,0.0,-166,225,513,10.4151217588884,True
5.101,0.0,1980.7,579.984,True,0.0,-170,220,509,10.7698396356192,True
5.202,0.0,1979.0,577.409,True,0.0,-174,217,506,11.0881383019355,True
5.302,0.0,1977.8,573.558,True,0.0,-172,213,504,11.3353095937427,True
5.402,0.0,1977.6,567.092,True,0.0,-176,204,499,11.5305092915993,True
5.501,0.0,1977.0,560.104,True,0.0,-174,196,495,11.6551861144641,True
5.601,0.0,1974.8,558.374,True,0.0,-174,191,495,11.7679635250283,True
5.704,0.0,1970.3,549.448,True,0.0,-175,182,488,11.8566896243917,True
5.802,0.0,1964.2,541.788,True,0.0,-169,178,483,11.898002344073,True
5.899,0.0,1957.6,536.241,True,0.0,-165,173,480,11.9356643840993,True
6.006,0.0,1945.5,531.462,True,0.0,-160,174,476,12.0094156883003,True
6.101,0.0,1947.7,520.759,True,0.0,-153,175,466,12.0444683853748,True
6.21,0.0,1948.3,527.068,True,0.0,-150,175,474,12.0627589435706,True
6.307,0.0,1951.1,522.744,True,0.0,-146,184,467,12.0779974402295,True
6.406,0.0,1951.8,520.526,True,0.0,-147,187,463,12.1170686633803,True
6.505,0.65916430187108,1950.7,526.225,True,39.5498581122648,-145,192,468,12.1425533950187,True
6.605,0.0,1949.2,530.514,True,0.0,-145,194,472,12.1057604042069,True
6.704,0.0,1949.5,534.922,True,0.0,-147,202,473,12.1210482774854,True
6.805,0.0,1949.9,535.911,True,0.0,-154,197,474,12.1195490997394,True
6.905,0.0,1949.1,538.548,True,0.0,-157,197,476,12.1216386211046,True
7.005,0.0,1948.7,535.62,True,0.0,-158,193,474,12.1204553792707,True
7.105,0.0,1943.7,536.154,True,0.0,-161,192,474,12.1206369957279,True
7.206,0.0,1937.6,527.991,True,0.0,-158,189,467,12.1350179693647,True
7.306,0.0,1930.2,528.539,True,0.0,-158,183,470,12.142255323708,True
7.405,0.0,1923.7,524.882,True,0.0,-154,181,468,12.1591926507814,True
7.505,0.0,1920.5,524.217,True,0.0,-151,179,469,12.1778559126119,True
7.611,0.0,1920.3,526.95,True,0.0,-146,178,474,12.2363972983115,True
7.702,0.0,1923.8,521.027,True,0.0,-139,182,468,12.2346390236198,True
7.801,0.0,1929.4,524.031,True,0.0,-132,188,471,12.3129476699751,True
7.899,0.0,1934.5,524.905,True,0.0,-129,190,472,12.4118235579715,True
8.007,0.0,1938.7,528.546,True,0.0,-126,197,474,12.5837129012566,True
8.107,0.0,1939.6,533.772,True,0.0,-125,202,478,12.6567500381978,True
8.206,0.0,1945.9,536.345,True,0.0,-124,207,479,12.795271046141,True
8.304,0.0,1952.4,539.956,True,0.0,-123,210,482,12.9506604838202,True
8.412,0.0,1960.3,545.141,True,0.0,-121,213,487,13.1800916896853,True
8.512,0.0,1965.2,547.124,True,0.0,-125,218,486,13.3467429123245,True
8.601,0.0,1971.7,552.02,True,0.0,-126,223,489,13.482042127771,True
8.702,0.0,1974.9,558.069,True,0.0,-126,227,494,13.7008317205162,True
8.803,0.0,1975.6,562.858,True,0.0,-130,230,497,13.9681759588561,True
8.904,0.0,1970.2,564.089,True,0.0,-132,234,496,14.1966812194228,True
9.004,0.0,1972.0,571.151,True,0.0,-138,237,501,14.4397168519564,True
9.104,0.0,1977.1,580.629,True,0.0,-143,240,509,14.7346914442457,True
9.203,0.0,1981.6,579.263,True,0.0,-151,236,507,14.9101354119005,True
9.304,0.0,1987.3,585.025,True,0.0,-158,237,511,15.2149602711693,True
9.404,0.0,1989.5,578.832,True,0.0,-163,229,506,15.3890127486347,True
9.503,0.0,1988.5,582.097,True,0.0,-169,224,510,15.5278617830524,True
9.607,0.0,1987.2,577.911,True,0.0,-174,216,507,15.7418442374305,True
9.708,0.0,1986.0,572.936,True,0.0,-176,208,504,15.8140676713205,True
9.806,0.0,1985.1,562.414,True,0.0,-178,199,495,15.9010146766269,True
9.902,0.0,1984.1,554.896,True,0.0,-177,191,490,15.9679039871399,True
10.0,0.0,1984.2,544.708,True,0.0,-173,183,483,16.013614129674,True
10.103,0.0,1984.2,535.458,True,0.0,-169,175,477,16.1171957849707,True
10.213,0.0,1980.6,529.952,True,0.0,-162,173,474,16.1562679435509,True
10.311,0.0,1977.2,524.892,True,0.0,-156,174,470,16.1945806413633,True
10.407,0.0,1973.2,520.803,True,0.0,-152,176,466,16.219519287356,True
10.507,0.0,1968.3,522.871,True,0.0,-147,181,468,16.2370081857794,True
10.607,0.0,1964.0,525.853,True,0.0,-145,186,470,16.2436888011888,True
10.707,0.0,1960.2,527.834,True,0.0,-147,190,470,16.1852730706982,True
10.808,0.0,1958.9,523.922,True,0.0,-146,197,463,16.2601765038786,True
10.909,0.0,1956.5,532.072,True,0.0,-149,200,470,16.2433781585223,True
11.009,0.0,1955.2,533.894,True,0.0,-151,201,471,16.2300593754721,True
11.099,0.0,1955.1,533.994,True,0.0,-157,199,470,16.1688561371357,True
11.2,0.0,1952.8,537.664,True,0.0,-157,197,475,16.1448262891627,True
11.3,0.0,1951.1,537.737,True,0.0,-159,198,474,16.125842230033,True
11.4,0.0,1949.7,535.916,True,0.0,-159,193,474,16.1125759765043,True
11.501,0.0,1949.2,534.556,True,0.0,-161,190,473,16.1104329364768,True
11.601,0.0,1948.5,532.962,True,0.0,-161,188,472,16.1058982701322,True
11.699,0.0,1948.4,528.599,True,0.0,-160,184,469,16.1151972688567,True
11.807,0.0,1948.2,528.835,True,0.0,-156,183,471,16.1712332364454,True
11.904,0.0,1949.2,525.741,True,0.0,-152,180,470,16.1808308902077,True
12.002,0.0,1950.8,520.39,True,0.0,-147,179,466,16.1607710016205,True
12.106,0.0,1953.3,521.424,True,0.0,-141,179,469,16.1944635845776,True
12.205,0.0,1956.9,520.59,True,0.0,-134,187,467,16.2288719175744,True
12.304,0.0,1960.3,526.95,True,0.0,-130,190,474,16.2572249345951,True
12.409,0.0,1964.6,528.414,True,0.0,-127,196,474,16.2955785434428,True
12.508,0.0,1968.9,537.072,True,0.0,-126,203,481,16.3052291920951,True
12.607,0.0,1973.2,544.266,True,0.0,-124,209,487,16.3298206882346,True
12.706,0.0,1978.6,544.096,True,0.0,-123,216,484,16.3857107980916,True
12.806,0.0,1984.8,551.793,True,0.0,-125,223,489,16.4709963226078,True
12.907,0.659173093571088,1990.6,558.047,True,39.5503856142653,-128,228,493,16.5676219785982,True
13.008,0.0,1995.6,558.687,True,0.0,-133,231,491,16.6562242747725,True
13.109,0.0,2001.3,570.737,True,0.0,-138,236,501,16.8073827668214,True
13.209,0.0,2006.9,575.421,True,0.0,-143,238,504,16.9626934957495,True
13.31,0.0,2011.6,583.027,True,0.0,-152,236,511,17.1252391169449,True
13.4,0.0,2015.9,585.439,True,0.0,-159,233,513,17.2265947347021,True
13.5,0.0,2018.0,579.771,True,0.0,-166,227,507,17.3220372295308,True
13.599,0.0,2018.3,579.318,True,0.0,-172,219,508,17.3989870641479,True
13.7,0.0,2018.1,574.095,True,0.0,-175,212,504,17.4443031761346,True
13.807,0.0,2016.5,562.697,True,0.0,-176,204,494,17.4293781769429,True
13.904,0.0,2015.5,556.605,True,0.0,-178,195,490,17.4493809299657,True
14.0,0.0,2014.0,551.672,True,0.0,-175,186,489,17.4496094831865,True
14.102,0.0,2012.3,545.803,True,0.0,-174,180,485,17.4754973451336,True
14.208,0.0,2011.2,537.637,True,0.0,-171,177,478,17.4790604054847,True
14.303,0.0,2010.7,535.411,True,0.0,-166,175,478,17.4789465727038,True
14.413,0.0,2009.9,531.438,True,0.0,-161,173,476,17.399867359676,True
14.503,0.0,2009.6,529.018,True,0.0,-160,172,474,17.4012217645402,True
14.603,0.0,2009.9,521.096,True,0.0,-153,176,466,17.3410761143226,True
14.704,0.0,2011.3,519.721,True,0.0,-149,178,465,17.2740470393967,True
14.803,0.0,2012.6,519.643,True,0.0,-147,182,464,17.1819434388644,True
14.904,0.0,2013.5,522.744,True,0.0,-146,184,467,17.0771214472768,True
15.004,0.0,2013.9,523.612,True,0.0,-144,188,467,16.8373051309859,True
15.108,0.0,2013.8,527.668,True,0.0,-147,192,469,16.7043049238236,True
15.208,0.0,2014.2,528.399,True,0.0,-147,194,469,16.5741894774043,True
15.309,0.0,2013.1,534.83,True,0.0,-147,197,475,16.4553942677053,True
15.41,0.0,2012.7,531.93,True,0.0,-148,198,471,16.3607548966057,True
15.5,0.0,2012.5,534.777,True,0.0,-151,201,472,16.2898181091845,True
15.607,0.0,2011.4,534.312,True,0.0,-152,199,472,16.209727025675,True
15.704,0.0,2010.3,538.262,True,0.0,-157,201,474,16.1396967479542,True
15.801,0.0,2009.5,536.717,True,0.0,-159,200,472,16.0619999066446,True
15.904,0.0,2007.6,537.592,True,0.0,-158,196,475,15.9973899588966,True
16.009,0.0,2004.5,534.735,True,0.0,-158,193,473,15.9471335062609,True
16.106,0.0,2002.8,533.429,True,0.0,-159,191,472,15.8942250294276,True
16.205,0.0,2001.8,535.079,True,0.0,-158,189,475,15.8337817509728,True
16.303,0.0,2000.5,528.886,True,0.0,-158,184,470,15.8174885466361,True
16.404,0.0,1999.8,527.432,True,0.0,-154,178,472,15.8232080141636,True
16.504,0.0,2000.1,520.943,True,0.0,-147,178,467,15.8343847285609,True
16.605,0.0,2001.8,519.377,True,0.0,-138,178,468,15.8812531829618,True
16.705,0.0,2004.5,522.523,True,0.0,-131,187,470,16.0034806968158,True
16.804,0.0,2007.5,528.334,True,0.0,-126,194,475,15.9909251326,True
16.905,0.0,2010.6,535.71,True,0.0,-124,203,480,16.0563255819308,True
17.005,0.0,2013.1,538.517,True,0.0,-124,208,481,16.1236526513261,True
17.105,0.0,2017.5,547.124,True,0.0,-125,218,486,16.2044481789504,True
17.204,0.0,2021.8,552.276,True,0.0,-125,222,490,16.2948710818447,True
17.307,0.0,2026.5,556.642,True,0.0,-131,225,492,16.3913900874072,True
17.405,0.0,2030.6,561.737,True,0.0,-133,232,494,16.4427287378455,True
17.502,0.0,2036.3,575.252,True,0.0,-137,239,505,16.5938884090188,True
17.599,0.0,2040.0,575.885,True,0.0,-143,237,505,16.7112719896403,True
17.703,0.0,2044.5,580.287,True,0.0,-150,237,508,16.8635025245566,True
17.813,0.0,2047.0,581.324,True,0.0,-157,235,508,16.9793486674066,True
17.912,0.0,2048.9,579.706,True,0.0,-163,229,507,17.0616161517837,True
18.006,0.0,2051.0,582.684,True,0.0,-168,224,511,17.1396263011329,True
18.105,0.0,2052.1,576.642,True,0.0,-176,218,504,17.2129090453226,True
18.204,0.0,2052.5,571.709,True,0.0,-177,211,501,17.2635625673745,True
18.303,0.0,2051.8,568.03,True,0.0,-179,204,499,17.3016740630087,True
18.404,0.0,2051.0,555.405,True,0.0,-177,195,489,17.2995161033944,True
18.504,0.0,2048.7,551.49,True,0.0,-174,189,488,17.2693894754699,True
18.605,0.0,2047.8,543.273,True,0.0,-173,184,481,17.2332933550696,True
18.705,0.0,2047.3,538.21,True,0.0,-170,177,479,17.1853632113386,True
18.805,0.0,2047.3,530.894,True,0.0,-164,174,474,17.1308854494106,True
18.904,0.0,2046.6,525.727,True,0.0,-158,172,471,17.1336559227084,True
19.004,0.0,2047.0,524.265,True,0.0,-155,173,470,17.06127580718,True
19.104,0.0,2047.6,523.489,True,0.0,-152,176,469,16.9592709629347,True
19.204,0.0,2047.4,523.567,True,0.0,-147,183,468,16.6867054644057,True
19.307,0.0,2048.1,523.887,True,0.0,-145,188,467,16.5047161939839,True
19.405,0.0,2048.2,524.447,True,0.0,-145,192,466,16.3811664852569,True
19.502,0.0,2048.3,528.585,True,0.0,-145,196,469,16.3244742150862,True
19.599,0.0,2048.1,527.789,True,0.0,-149,198,466,16.167255425576,True
19.703,0.0,2047.9,532.303,True,0.0,-148,199,471,16.0198572413312,True
19.813,0.0,2046.3,534.402,True,0.0,-151,200,472,15.8693253854985,True
19.912,0.0,2044.8,537.763,True,0.0,-153,198,476,15.7846870473149,True
20.007,0.0,2043.5,533.056,True,0.0,-152,198,471,15.7226146103188,True
20.113,0.659151114760781,2042.4,536.28,True,39.5490668856468,-154,198,474,15.645535012711,True
20.212,0.0,2041.0,534.97,True,0.0,-153,200,472,15.575691761981,True
20.301,0.0,2040.2,535.631,True,0.0,-154,201,472,15.5119940895081,True
20.401,0.0,2039.3,533.368,True,0.0,-154,202,469,15.4611280895407,True
20.501,0.0,2038.3,534.463,True,0.0,-153,201,471,15.4025479180837,True
20.601,0.0,2036.2,535.385,True,0.0,-157,198,472,15.3660104567964,True
20.702,0.0,2035.1,536.93,True,0.0,-158,199,473,15.3449064216839,True
20.802,0.0,2032.6,538.915,True,0.0,-157,198,476,15.3286651795274,True
20.902,0.0,2029.6,538.252,True,0.0,-159,197,475,15.2992011123117,True
21.002,0.0,2028.5,536.56,True,0.0,-158,198,473,15.2964741552291,True
21.103,0.0,2026.9,536.938,True,0.0,-155,199,474,15.3525195097943,True
21.203,0.0,2024.7,537.225,True,0.0,-159,199,473,15.3579609440422,True
21.305,0.0,2022.5,537.518,True,0.0,-157,199,474,15.3550464527359,True
21.403,0.0,2020.9,536.345,True,0.0,-156,199,473,15.3493821287953,True
21.499,0.0,2019.0,538.849,True,0.0,-159,201,474,15.2837806073037,True
21.607,0.0,2014.7,539.501,True,0.0,-159,198,476,15.3153053528739,True
21.709,0.0,2011.9,537.737,True,0.0,-159,198,474,15.2811647503259,True
21.803,0.0,2009.9,535.016,True,0.0,-157,197,472,15.2170375024387,True
21.912,0.0,2008.1,539.575,True,0.0,-158,199,476,15.212983570604,True
22.011,0.0,2005.4,537.889,True,0.0,-157,200,474,15.1518200924915,True
22.101,0.0,2004.1,541.197,True,0.0,-158,201,477,15.0821922466803,True
22.202,0.0,2001.7,538.4,True,0.0,-157,199,475,15.0167724005038,True
22.302,0.0,1999.6,536.049,True,0.0,-158,199,472,14.9521175390983,True
22.401,0.0,1997.6,539.734,True,0.0,-156,201,476,14.8817971960736,True
22.501,0.0,1996.7,536.128,True,0.0,-157,200,472,14.8073305357573,True
22.6,0.0,1994.4,539.283,True,0.0,-157,199,476,14.7229701571919,True
22.7,0.0,1991.9,537.309,True,0.0,-155,200,474,14.6094555326302,True
22.801,0.0,1989.8,540.317,True,0.0,-157,197,478,14.4682745825549,True
22.901,0.0,1987.5,538.788,True,0.0,-154,200,476,14.3009595782574,True
