elapsed_seconds,dominant_freq_hz,flow_intensity,total_magnitude,flow_running,vibration_rpm,x_axis_reading,y_axis_reading,z_axis_reading,vibration_intensity,has_real_signal
0.0,0.0,1600.8,593.476,True,0.0,-98,203,549,1.51575974828688,False
0.112,0.0,1599.0,596.833,True,0.0,-100,201,553,1.52549386846273,False
0.211,0.0,1596.5,597.51,True,0.0,-100,203,553,1.50433847974161,False
0.309,0.0,1591.4,596.413,True,0.0,-101,202,552,1.49671747674955,False
0.406,0.0,1582.5,596.753,True,0.0,-101,203,552,1.4921278740961,False
0.504,0.0,1572.3,596.584,True,0.0,-100,203,552,1.48300280868762,False
0.603,0.0,1571.0,596.584,True,0.0,-100,203,552,1.47635163410503,False
0.702,0.0,1562.0,592.137,True,0.0,-99,204,547,1.49322783356084,False
0.809,0.0,1555.2,592.895,True,0.0,-98,204,548,1.50917191172974,False
0.906,0.0,1553.5,591.392,True,0.0,-98,205,546,1.53601212086386,False
1.003,0.0,1552.2,596.936,True,0.0,-98,205,552,1.54714929590042,False
1.1,0.0,1550.9,594.813,True,0.0,-99,201,551,1.5435596907608,False
1.206,0.0,1550.2,596.833,True,0.0,-100,201,553,1.5419931407488,False
1.304,0.0,1550.0,596.078,True,0.0,-99,202,552,1.54253854936056,False
1.401,0.0,1549.8,594.567,True,0.0,-99,203,550,1.5400226136454,False
1.51,0.0,1549.3,595.834,True,0.0,-99,204,551,1.54187245404172,False
1.608,0.0,1546.5,593.742,True,0.0,-101,205,548,1.54979190204365,False
1.704,0.0,1545.3,593.979,True,0.0,-101,203,549,1.54642814056616,False
1.805,0.0,1531.4,592.717,True,0.0,-99,203,548,1.54828647578851,False
1.902,0.0,1530.2,597.436,True,0.0,-101,205,552,1.55196829146572,False
2.0,0.0,1519.5,594.237,True,0.0,-97,203,550,1.56033890775791,False
2.107,0.0,1506.2,598.609,True,0.0,-99,204,554,1.55562046805882,False
2.208,0.0,1502.5,594.226,True,0.0,-99,202,550,1.55511819647191,False
2.306,0.0,1501.3,597.264,True,0.0,-102,204,552,1.55364192386834,False
2.404,0.0,1498.3,596.246,True,0.0,-102,201,552,1.53705983143085,False
2.511,0.0,1495.3,594.744,True,0.0,-98,204,550,1.52940954444763,False
2.61,0.0,1494.7,595.759,True,0.0,-102,205,550,1.53608567161266,False
2.709,0.0,1494.5,595.42,True,0.0,-100,205,550,1.53981875861954,False
2.808,0.0,1494.4,591.793,True,0.0,-99,203,547,1.53492250686979,False
2.906,0.0,1493.8,590.743,True,0.0,-94,205,546,1.60723336918439,False
3.005,0.0,1493.7,589.979,True,0.0,-95,205,545,1.66132938550621,False
3.103,0.0,1492.1,596.245,True,0.0,-100,202,552,1.66143499084894,False
3.201,0.0,1489.4,598.359,True,0.0,-103,204,553,1.66952343257918,False
3.31,0.0,1478.2,599.531,True,0.0,-103,202,555,1.68476609474286,False
3.408,0.0,1468.0,600.487,True,0.0,-107,200,556,1.7625655096024,False
3.507,0.0,1467.2,594.476,True,0.0,-107,193,552,1.91725918802139,False
3.605,0.0,1457.7,587.044,True,0.0,-104,186,547,2.18111817119308,False
3.702,0.0,1452.2,582.538,True,0.0,-94,183,545,2.48025515396233,False
3.808,0.0,1447.7,585.161,True,0.0,-82,191,547,2.7899773808029,False
3.903,0.0,1450.6,591.485,True,0.0,-73,205,550,3.16967100386952,False
4.0,0.0,1453.2,604.874,True,0.0,-72,217,560,3.61989486534329,False
4.108,0.0,1459.0,623.331,True,0.0,-74,229,575,4.43579531391832,False
4.205,0.0,1467.3,630.722,True,0.0,-80,237,579,5.21674881572349,True
4.31,0.0,1478.3,639.408,True,0.0,-87,243,585,6.06487941627271,True
4.408,0.0,1489.6,643.964,True,0.0,-97,244,588,6.77597460565787,True
4.503,0.0,1499.0,645.124,True,0.0,-108,240,589,7.33221337266677,True
4.612,0.0,1504.4,642.49,True,0.0,-115,232,588,7.83481397464091,True
4.711,0.0,1506.6,637.648,True,0.0,-121,223,585,8.21563566180715,True
4.81,0.0,1503.1,631.257,True,0.0,-123,214,581,8.50703907914054,True
4.901,0.0,1506.0,623.118,True,0.0,-122,204,576,8.66957623124299,True
5.009,0.0,1488.9,616.945,True,0.0,-124,198,571,8.89877142682887,True
5.107,0.0,1490.6,604.838,True,0.0,-121,188,562,9.04369330818991,True
5.205,1.33453192286708,1485.1,605.92,True,80.0719153720249,-117,185,565,9.18532072713671,True
5.303,0.0,1484.0,602.457,True,0.0,-115,181,563,9.28964441143077,True
5.411,0.0,1484.1,595.868,True,0.0,-113,179,557,9.47252818216638,True
5.508,0.0,1484.2,592.559,True,0.0,-107,181,554,9.56463314506282,True
5.606,0.0,1484.7,591.85,True,0.0,-103,181,554,9.64704744641244,True
